ID,Query
1.0,What is the insurer response?
2.0,What is the comment?
3.0,What is the price quoted (premium + fees)?
4.0,What is the insurer fees?
5.0,What is the covermatch?
6.0,What is the quotey value score?
7.0,What is the accounts receivable?
8.0,What is the arson reward?
9.0,What is the bailees customer form?
10.0,What is the building bylaws?
11.0,What is the brands and labels?
12.0,What is the building?
13.0,What is the coverage type (building)?
14.0,What is the building damage by theft?
15.0,What is the business contents?
16.0,What is the by-laws - additional time to rebuild?
17.0,What is the catch-all clause?
18.0,What is the coinsurance (building)?
19.0,What is the coinsurance waiver?
20.0,What is the condominium contingent?
21.0,What is the condominium loss assessment - property?
22.0,What is the consequential loss?
23.0,What is the contents at newly acquired locations?
24.0,What is the contents at unnamed locations?
25.0,What is the coverage type (contents)?
26.0,What is the contents of others?
27.0,What is the contract penalty coverage?
28.0,What is the contractor's equipment?
29.0,What is the coinsurance (contractor's equipment)?
30.0,What is the contractors equipment - fire department charges?
31.0,What is the contractors equipment - loss of use?
32.0,What is the contractor's equipment - single item maximum?
33.0,What is the contractors equipment - sinking into muskeg or ice?
34.0,What is the settlement method (contractor's equipment)?
35.0,What is the conviction reward?
36.0,What is the data coverage?
37.0,What is the debris removal?
38.0,What is the deductible (building)?
39.0,What is the earthquake?
40.0,What is the eco-friendly coverage enhancement?
41.0,What is the computers and other electronic data processing equipment?
42.0,What is the computers and other electronic data processing equipment - away from your regular premises?
43.0,What is the equipment breakdown?
44.0,What is the exhibition insurance?
45.0,What is the expediting expenses?
46.0,What is the exterior glass?
47.0,What is the exterior signs?
48.0,What is the extinguishing system warranty?
49.0,What is the fine arts?
50.0,What is the fire department charges?
51.0,What is the fire suppression recharge?
52.0,What is the flood?
53.0,What is the deductible (flood)?
54.0,"What is the growing plants, trees, shrubs (per item)?"
55.0,What is the home office extension?
56.0,What is the inflation protection?
57.0,What is the installation form / floater?
58.0,"What is the leased, rented or borrowed equipment?"
59.0,What is the leasehold interest - rents?
60.0,What is the master key coverage?
61.0,What is the mortgage rate guarantee?
62.0,What is the newly acquired buildings?
63.0,What is the newly acquired business contents?
64.0,What is the newly acquired equipment?
65.0,What is the newly acquired locations?
66.0,What is the off-premises service interruption?
67.0,What is the parcel post?
68.0,"What is the pavement, sidewalk and driveways?"
69.0,What is the personal effects and property of employees and others?
70.0,What is the pollution clean-up and removal (insured premises)?
71.0,What is the preservation of property?
72.0,What is the professional fees for proving a loss?
73.0,What is the property off premises and in transit?
74.0,What is the rental reimbursement?
75.0,What is the property of every description (poed)?
76.0,What is the settlement method (tools)?
77.0,What is the retailers product impairment?
78.0,What is the sales representative samples?
79.0,What is the seasonal increase to business contents limit?
80.0,What is the sewer backup?
81.0,What is the stock?
82.0,What is the stock spoilage?
83.0,What is the tenants damage by vandalism exclusion?
84.0,What is the tools aggregate limit?
85.0,What is the tools single item limit?
86.0,What is the coinsurance (tools)?
87.0,What is the valuable papers and records?
88.0,What is the water damage deductible?
89.0,What is the work damage to stock?
90.0,What is the absolute pollution exclusion endorsement?
91.0,What is the products & completed operations?
92.0,"What is the care, custody and control?"
93.0,What is the bodily injury & property damage (cgl)?
94.0,What is the condominium special assessment?
95.0,What is the contingent wrap-up liability including diff in conditions?
96.0,What is the contingent wrap-up liability including diff in deductibles?
97.0,What is the contractors errors & omissions?
98.0,What is the excess liability?
99.0,"What is the damage from blasting, pile driving, removal or weakening of support?"
100.0,What is the elevator and hoist collision?
101.0,What is the employee benefits liability?
102.0,What is the employer's liability?
103.0,What is the failure to perform?
104.0,What is the faulty workmanship?
105.0,What is the forest and prairie fire fighting expense?
106.0,What is the fungi and fungal derivatives?
107.0,What is the general aggregate of liability?
108.0,What is the umbrella liability?
109.0,What is the wrap-up liability?
110.0,What is the limitation of coverages to designated premises?
111.0,What is the limited pollution liability?
112.0,What is the medical expense per person?
113.0,What is the non-owned auto - sef 94 - damage to hired autos?
114.0,What is the non-owned auto - spf 6?
115.0,What is the non-owned auto - oef 98b?
116.0,What is the non-owned auto - sef 96 - contractual liability?
117.0,What is the non-owned auto - sef 99 - excluding long term leased vehicles?
118.0,What is the communicable disease exclusion?
119.0,What is the personal & advertising injury?
120.0,What is the deductible (bodily injury)?
121.0,What is the riggers liability / hook coverage?
122.0,What is the rip and tear?
123.0,What is the tenant's legal liability?
124.0,What is the voluntary property damage?
125.0,What is the additional property damage exclusion?
126.0,What is the extra expense?
127.0,What is the contingent loss of income - neighbouring property?
128.0,What is the rental income?
129.0,What is the rental income - coverage type?
130.0,What is the loss of earnings?
131.0,What is the profits?
132.0,What is the actual loss sustained?
133.0,What is the computer fraud?
134.0,What is the credit card forgery?
135.0,What is the depositors forgery?
136.0,What is the employee dishonesty?
137.0,What is the forgery or alteration?
138.0,What is the funds transfer fraud?
139.0,What is the identity theft?
140.0,What is the incoming cheque forgery?
141.0,What is the kidnap and ransom?
142.0,What is the loss inside the premises?
143.0,What is the loss outside the premises?
144.0,What is the medical expense from robbery?
145.0,What is the money & securities?
146.0,What is the money orders & counterfeit currency?
147.0,What is the theft from custodian's home?
148.0,What is the third party bond?
149.0,What is the incident response costs?
150.0,What is the legal and regulatory costs?
151.0,What is the it security and forensic costs?
152.0,What is the crisis communication costs?
153.0,What is the privacy breach management costs?
154.0,What is the third party privacy breach management costs?
155.0,What is the post breach remediation costs?
156.0,What is the funds transfer fraud & social engineering?
157.0,What is the theft of funds held in escrow?
158.0,What is the theft of personal funds?
159.0,What is the cyber extortion?
160.0,What is the corporate identity theft?
161.0,What is the telephone hacking?
162.0,What is the push payment fraud?
163.0,What is the unauthorized use of computer resources?
164.0,What is the system or data damage and rectification costs?
165.0,What is the income loss and extra expense?
166.0,What is the additional extra expense?
167.0,What is the dependent business interruption?
168.0,What is the consequential reputation harm?
169.0,What is the claim preparation costs?
170.0,What is the hardware replacement costs?
171.0,What is the network security liability?
172.0,What is the privacy liability?
173.0,What is the management liability?
174.0,What is the regulatory fines & penalties?
175.0,"What is the pci fines, penalties and assessments?"
176.0,What is the defamation?
177.0,What is the intellectual property rights infringement?
178.0,What is the court attendance costs?
179.0,What is the bodily injury?
180.0,What is the contract disputes and debt recovery?
181.0,What is the employment disputes?
182.0,What is the legal defence?
183.0,What is the property protection?
184.0,What is the statutory license protection?
185.0,What is the tax protection?
186.0,What is the unlimited legal assistance (helpline)?
187.0,What is the free antivirus software?
188.0,What is the errors & omissions (e&o)?
189.0,What is the errors & omissions - aggregate limit?
190.0,What is the e&o - basis of coverage?
191.0,What is the deductible (e&o)?
192.0,What is the defence costs in addition to limit?
193.0,What is the first dollar defence coverage?
194.0,What is the e&o retroactive date?
195.0,What is the tenant's improvements?
196.0,What is the territory of coverage?
197.0,What is the territory of suit?
198.0,What is the loss of documents?
199.0,What is the libel & slander?
200.0,What is the breach of copyright & intellectual property?
201.0,What is the breach of confidence?
202.0,What is the medical expenses - each occurrence?
203.0,What is the interruption by civil authority?
204.0,What is the deductible (earthquake)?
205.0,What is the equipment?
206.0,What is the premium quoted?
207.0,What is the broker fees?
208.0,What is the commission rate?
209.0,What is the minimum retained premium?
210.0,What is the quote expiry date?
211.0,What is the quote reference?
212.0,What is the settlement method (contents)?
213.0,What is the contractor's equipment schedule required?
214.0,What is the locked vehicle warranty?
215.0,What is the welding warranty?
216.0,What is the subcontractors warranty?
217.0,What is the usa sales and operations exclusion?
218.0,What is the exclusion of snow removal activities?
219.0,What is the water damage deductible?
220.0,What is the deductible (sewer backup)?
221.0,What is the vandalism by tenants?
222.0,What is the vandalism by tenants deductible?
223.0,What is the cooking in rooms exclusion?
224.0,What is the smoke detector warranty?
225.0,What is the deductible (cyber)?
226.0,What is the waiting period?
227.0,What is the renorun?
